"","date","hour.ending","hour","solarTCR1","solarTCR2","solarTCR3","solarTCR4","solarTCR5","windTCR1","windTCR2","windTCR3","windTCR4","windTCR5"
"4621",2019-07-12,13,4621,1919.15503319318,0,779.357417961135,0,1494.31269343509,1233.4257099219,0,1071.46844903944,0,141.576883400627
"4622",2019-07-12,14,4622,1861.49891444213,0,791.558897149775,0,1381.14154836661,1645.64858352178,0,1108.38441132288,0,145.857279845485
"4623",2019-07-12,15,4623,1993.7071976482,0,770.444773960964,0,1418.07035812472,1875.4276932953,0,1006.71610047817,0,135.37485421954
"4624",2019-07-12,16,4624,1867.65483807071,0,737.072394109392,0,1387.05889426692,1564.05248469019,0,904.85158868919,0,96.8276238554845
"4625",2019-07-12,17,4625,1570.17965200213,0,618.755235225132,0,1347.47108830383,1520.71930256441,0,967.919627605803,0,82.381130180664
"4626",2019-07-12,18,4626,1192.57267708329,0,470.624224679845,0,1246.02797043176,1737.63400794322,0,804.1582456137,0,78.4818222758482
"4627",2019-07-12,19,4627,762.967794067736,0,245.778329975734,0,789.767586283348,1871.7129303057,0,642.30152201905,0,67.1114354438559
"4628",2019-07-12,20,4628,231.777073470828,0,59.8179078603619,0,198.086328554615,2150.30728583169,0,500.125262372726,0,70.4042396918063
"4629",2019-07-12,21,4629,66.1434347325769,0,2.50956435615585,0,13.0181609806785,2092.51827082489,0,457.332327189381,0,108.281451642323
"4630",2019-07-12,22,4630,-5.78918775283148,0,-1.34846501037786,0,-2.61582243661701,2251.85414986492,0,511.846004935816,0,63.1573304940666
"4631",2019-07-12,23,4631,-5.81538317252755,0,-1.47195601659141,0,-2.56249013451123,2478.30026790297,0,523.144160849709,0,47.0582077583421
"4632",2019-07-12,24,4632,-5.44864729678257,0,-1.36833712632027,0,-2.5828072019801,2763.7707955679,0,328.989743352133,0,58.4709377614503
"4633",2019-07-13,1,4633,-5.65821065435113,0,-1.35130388408392,0,-2.60566390288258,2500.18133719852,0,215.836131077458,0,91.49736584443
"4634",2019-07-13,2,4634,-5.63201523465506,0,-1.41233966876418,0,-2.4964596652374,1941.15240291036,0,239.005953357726,0,120.153729590777
"4635",2019-07-13,3,4635,-5.44864729678257,0,-1.38537036855662,0,-2.64629803782032,1598.09446977733,0,375.253926011026,0,86.5967664814629
"4636",2019-07-13,4,4636,-5.44864729678257,0,-1.40098417393995,0,-2.60312426944897,1586.18234873562,0,484.963457094745,0,59.4249044989427
"4637",2019-07-13,5,4637,-5.4224518770865,0,-1.40666192135206,0,-2.6691547387228,2805.34954575056,0,564.02640068347,0,67.8661401996267
"4638",2019-07-13,6,4638,-4.95093432255724,0,-0.972314244325089,0,-2.5828072019801,5559.68758864626,0,573.899835894356,0,69.8986124131876
"4639",2019-07-13,7,4639,46.6016516393086,0,39.0898714955746,0,75.1706100013854,7746.85510354218,0,427.029845965878,0,43.1937707003276
"4640",2019-07-13,8,4640,317.01696916184,0,215.014875060029,0,666.915358565959,8663.80960205107,0,301.141283170039,0,33.5557177219279
"4641",2019-07-13,9,4641,914.246342812541,0,455.016097043934,0,1134.65234620085,6026.95415587494,0,192.989285736219,0,23.2551186543037
"4642",2019-07-13,10,4642,1359.62086848512,0,636.516648567088,0,1390.45184453422,4143.0030976139,0,129.903135963212,0,24.5054875896072
"4643",2019-07-13,11,4643,1688.89729406472,0,749.949525240074,0,1251.53897498269,4622.14746936706,0,136.966369956936,0,27.6899431349965
"4644",2019-07-13,12,4644,1877.97583343096,0,796.315430044277,0,1349.99040466997,4995.16801160211,0,99.3923798911757,0,18.5799344081592
"4645",2019-07-13,13,4645,1980.42611986229,0,817.689310177192,0,1361.0174930387,4910.02873236704,0,80.6084033343613,0,19.6061336140258
"4646",2019-07-13,14,4646,1950.79910018603,0,838.52522374281,0,1540.03117450691,4735.68795617041,0,156.85812722986,0,12.8449254967327
"4647",2019-07-13,15,4647,1946.86978723162,0,843.026258003766,0,1345.0584365419,3987.24042592991,0,306.10365782204,0,67.3243966868209
"4648",2019-07-13,16,4648,1826.10890243274,0,788.362325356753,0,1183.17458258338,3312.05865996465,0,374.294050622136,0,36.4487526190493
