X,Y,FID,Plant_Name,Owner,Operator,City,State,County,ZipCode,Period,Cap_MMcfd,Plant_Flow,BTU_Conten,Dry_Stor,NGL_Stor,Longitude,Latitude,Source
-103.14725,32.42494,424,Targa Midstream Services LLC, ,"Targa Midstream Services, LLC",Eunice,NM,Lea,88231-1909,2017,115,100,1029,0,713,-103.14725,32.42494,"EIA-757, Natural Gas Processing Plant Survey"
-102.64083,31.50111,425,Targa Sandhills Plt,Targa Resources,Targa Resources,Crane,TX,Crane,79743,2017,180,152,1230,0,9285,-102.64083,31.50111,"EIA-757, Natural Gas Processing Plant Survey"
-101.91115,32.37703,426,Tarzan Gas Plant,Targa Resources,Targa Resources,Lenorah,TX,Martin,79749,2017,10,8.7,1050,0,1876,-101.91115,32.37703,"EIA-757, Natural Gas Processing Plant Survey"
-96.94472,35.20639,427,Tecumseh Gas Plant,Enerfin Resources Company,Enerfin Resources I LP,Tecumseh,OK,Pottatomie,74873,2017,20,10,1310,0,1400,-96.94472,35.20639,"EIA-757, Natural Gas Processing Plant Survey"
-94.94083,29.37583,428,Texas City Processing Plant,Kinder Morgan Tejas Pipeline LLC,Kinder Morgan Tejas Pipeline LLC,Texas City,TX,Galveston,77590,2017,65,65,1045,0,400,-94.94083,29.37583,"EIA-757, Natural Gas Processing Plant Survey"
-98.79778,35.73944,429,Thomas,Enable Products LLC,Enable Products LLC,Thomas,OK,Custer,73669,2017,150,93,1051,0,0,-98.79778,35.73944,"EIA-757, Natural Gas Processing Plant Survey"
-98.93725,27.25736,430,Thompsonville Gas Plant,Enterprise Hydrocarbons LP,Enterprise Hydrocarbons L.P.,Mirando City,TX,Jim Hogg,77369,2017,330,305,1140,0,0,-98.93725,27.25736,"EIA-757, Natural Gas Processing Plant Survey"
-98.13589,28.40578,431,Three Rivers,"DCP Operating Company, LP","DCP Operating Company, LP",George West,TX,Live Oak,78022,2017,95,0,0,0,1380,-98.13589,28.40578,"EIA-757, Natural Gas Processing Plant Survey"
-98.52959,28.41049,432,Tilden,ETC Field Services LLC,ETC Field Services LLC,Tilden,TX,McMullen,78072,2017,150,98,1250,0,3250,-98.52959,28.41049,"EIA-757, Natural Gas Processing Plant Survey"
-102.22282,31.03752,433,Tippett Plant,ETC Field Services LLC,ETC Field Services LLC,McCamey,TX,Upton,79752,2017,55,50,1200,0,7500,-102.22282,31.03752,"EIA-757, Natural Gas Processing Plant Survey"
-89.83321,29.86624,434,Toca Gas Plant,Enterprise Gas Processing LLC,Enterprise Gas Processing LLC,St. Bernard,LA,St. Bernard,70085,2017,1100,150,1096,0,0,-89.83321,29.86624,"EIA-757, Natural Gas Processing Plant Survey"
-97.88872,32.34394,435,Tolar Plant/Black Diamond,"DCP Operating Company, LP","DCP Operating Company, LP",Tolar,TX,Hood,76476,2017,120,20,1270,0,1430,-97.88872,32.34394,"EIA-757, Natural Gas Processing Plant Survey"
-101.93056,30.86889,436,Tract 75 Gas Plant,Kinder Morgan Production Company LLC,Kinder Morgan Production Company LLC,Iraan,TX,Pecos,79744,2017,110,73,300,0,0,-101.93056,30.86889,"EIA-757, Natural Gas Processing Plant Survey"
-96.26194,31.44472,437,Trend Gathering Farrar plant,XTO Energy,"XTO Energy, Inc.",Jewett,TX,Limestone,75846,2017,330,110,1000,0,3000,-96.26194,31.44472,"EIA-757, Natural Gas Processing Plant Survey"
-96.22039,31.62764,438,Trend Teague Plant,Trend Gathering and Treating L.P.,Trend Gathering and Treating L.P.,Teague,TX,Freestone,75860,2017,330,200,1025,0,3000,-96.22039,31.62764,"EIA-757, Natural Gas Processing Plant Survey"
-96.08485,32.12756,439,Trinidad,Enbridge G & P (East Texas) L.P.,Enbridge G & P (East Texas) L.P.,Trinidad,TX,Henderson,75163,2017,65,52,1049,0,476,-96.08485,32.12756,"EIA-757, Natural Gas Processing Plant Survey"
-96.29188,34.58579,440,Tupelo Gas Plant,Targa Resources,Targa Resources,Coalgate,OK,Coal,74538,2017,125,122,1223,0,0,-96.29188,34.58579,"EIA-757, Natural Gas Processing Plant Survey"
-95.43441,32.38384,441,Tyler Gas Plant,Aethon United Gas LP,Aethon Energy Operating LLC,Tyler,TX,Smith,75704,2017,1,1,0,0,210,-95.43441,32.38384,"EIA-757, Natural Gas Processing Plant Survey"
-95.62501,32.53861,442,Van Plant,UNOCAL - CNAEP,UNOCAL - CNAEP,Van,TX,Van Zandt,75790,2017,1.2,0.5,1370,0,1142,-95.62501,32.53861,"EIA-757, Natural Gas Processing Plant Survey"
