GEOID,2019_Population,INTPTLAT,INTPTLONG                                                                                                               
13053,10907,32.347445,-84.788021
13055,24789,34.474178,-85.345289
13057,258773,34.244317,-84.475057
13059,128331,33.952185,-83.367152
13061,2834,31.619831,-84.992583
13063,292256,33.542686,-84.355573
13065,6618,30.917653,-82.702614
13067,760141,33.939929,-84.574121
13069,43273,31.549245,-82.84494
13071,45600,31.189707,-83.769773
13073,156714,33.552075,-82.249608
13075,17270,31.152516,-83.429445
13077,148509,33.352897,-84.762138
13079,12404,32.709428,-83.979187
13081,22372,31.920268,-83.75653
13083,16116,34.852424,-85.506201
13085,26108,34.442608,-84.173261
13087,26404,30.880643,-84.58389
13089,759297,33.770661,-84.226343
13091,20605,32.164369,-83.167866
13093,13390,32.151995,-83.807167
13095,87956,31.532588,-84.20904
13097,146343,33.701242,-84.767314
13099,10190,31.324191,-84.906723
13101,4006,30.714008,-82.897376
13103,64296,32.361688,-81.343355
13105,19194,34.116415,-82.841892
13107,22646,32.5911,-82.299763
13109,10654,32.153083,-81.890153
13111,26188,34.866543,-84.317331
13113,114421,33.412717,-84.493941
13115,98498,34.263692,-85.213685
13117,244252,34.225143,-84.127408
13119,23349,34.375266,-83.227532
13121,1063937,33.790034,-84.468182
13123,31369,34.690506,-84.454624
13125,2971,33.227491,-82.606913
13127,85292,31.21271,-81.49645
13129,57963,34.509667,-84.873862
13131,24633,30.875908,-84.24508
13133,18324,33.576704,-83.166625
13135,936250,33.958756,-84.025735
13137,45328,34.634392,-83.525875
13139,204441,34.317569,-83.8185
13141,8457,33.26922,-83.000465
13143,29792,33.795165,-85.220063
13145,35236,32.731549,-84.912432
13147,26205,34.348733,-82.96329
13149,11923,33.291347,-85.137886
13151,234561,33.452947,-84.154021
13153,157863,32.458287,-83.662522
13155,9416,31.604306,-83.277037
13157,72977,34.130905,-83.562557
13159,14219,33.316981,-83.689151
13161,15115,31.811615,-82.636825
13163,15362,33.058176,-82.420004
13165,8676,32.794563,-81.971524
13167,9643,32.694584,-82.66397
13169,28735,33.021664,-83.562196
13171,19077,33.07444,-84.146689
13173,10423,31.038197,-83.063164
13175,47546,32.39322,-82.926317
13177,29992,31.818419,-84.146681
13179,61435,31.807458,-81.457871
13181,7921,33.792151,-82.448299
13183,19559,31.749563,-81.74287
13185,117406,30.833145,-83.268995
13187,33610,34.56814,-83.998925
13189,21312,33.480613,-82.479533
13191,14378,31.485629,-81.372141
13193,12947,32.362686,-84.051231
13195,29880,34.128526,-83.203737
13197,8359,32.359312,-84.528735
13199,21167,33.029267,-84.667058
13201,5718,31.162931,-84.730398
13205,21863,31.228997,-84.192038
13207,27578,33.017404,-83.922837
13209,9172,32.172108,-82.533349
13211,19276,33.598696,-83.499435
13213,40096,34.797097,-84.73799
13215,195769,32.510197,-84.874946
13217,111744,33.552751,-83.85136
13219,40280,33.834125,-83.437728
13221,15259,33.866806,-83.074081
13223,168667,33.92103,-84.867169
13225,27546,32.571324,-83.831978
13227,32591,34.456746,-84.490351
13229,19465,31.353998,-82.21037
13231,18962,33.081149,-84.389462
13233,42613,33.996015,-85.188338
13235,11137,32.238803,-83.481845
13237,22119,33.32106,-83.37179
13239,2299,31.862938,-85.004798
13241,17137,34.883934,-83.40487
13243,6778,31.762651,-84.752311
13245,202518,33.361486,-82.074998
13247,90896,33.652081,-84.02637
13249,5257,32.263444,-84.322708
13251,13966,32.744751,-81.617585
13253,8090,30.93396,-84.867685
13255,66703,33.262348,-84.284905
13257,25925,34.553582,-83.290588
13259,6621,32.073225,-84.834912
13261,29524,32.042266,-84.204294
13263,6195,32.704603,-84.530029
13265,1537,33.559319,-82.875272
13267,25286,32.043768,-82.059208
13269,8020,32.554667,-84.251426
13271,15860,31.913641,-82.931063
13273,8531,31.777191,-84.439446
13275,44451,30.864619,-83.919815
13277,40644,31.457003,-83.525931
13279,26830,32.117753,-82.330597
13281,12037,34.902529,-83.732264
13283,6901,32.409586,-82.570882
13285,69922,33.034482,-85.02836
13287,7985,31.7248,-83.620319
13289,8120,32.665847,-83.425879
13291,24511,34.833333,-83.989257
13293,26320,32.881837,-84.292283
13295,69761,34.735802,-85.305456
13297,94593,33.783887,-83.731829
13299,35734,31.050881,-82.421507
13301,5254,33.419169,-82.688012
13303,20374,32.971843,-82.798112
13305,29927,31.547845,-81.912376
13307,2607,32.046691,-84.553828
13309,7855,32.105258,-82.733849
13311,30798,34.644182,-83.743
13313,104628,34.801726,-84.968541
13315,8635,31.96272,-83.438259
13317,9777,33.779031,-82.747921
13319,8954,32.804266,-83.175512
13321,20247,31.551773,-83.84996
15001,201513,19.597764,-155.502443
15003,974563,21.461365,-158.201974
15005,86,21.218764,-156.97401
15007,72293,22.012038,-159.705965
15009,167417,20.855931,-156.60155
16001,481587,43.451477,-116.244376
16003,4294,44.877004,-116.461624
16005,87808,42.692921,-112.228982
16007,6125,42.285892,-111.327517
16009,9298,47.218451,-116.633541
16011,46811,43.216357,-112.399206
16013,23021,43.394192,-113.955371
16015,7831,43.987275,-115.71511
16017,45739,48.316796,-116.612362
16019,119062,43.395171,-111.621878
16021,12245,48.773131,-116.524668
16023,2597,43.685101,-113.177631
16025,1106,43.502552,-114.772135
16027,229849,43.625796,-116.709058
16029,7155,42.786072,-111.544273
16031,24030,42.282313,-113.626328
16033,845,44.290218,-112.354613
16035,8756,46.67257,-115.6535
16037,4315,44.273351,-114.252267
16039,27511,43.394698,-115.471205
16041,13876,42.173609,-111.822965
16043,13099,44.218091,-111.484429
16045,18112,44.061473,-116.398784
16047,15179,42.973185,-114.82142
16049,16667,45.849644,-115.467337
16051,29871,43.796965,-112.318588
16053,24412,42.691395,-114.262086
16055,165697,47.675957,-116.695919
16057,40108,46.81892,-116.730974
16059,8027,44.928506,-113.887042
16061,3838,46.236328,-116.42376
16063,5366,42.990782,-114.153089
16065,39907,43.788614,-111.656993
16067,21039,42.857211,-113.63984
16069,40408,46.333791,-116.760909
16071,4531,42.183895,-112.520449
16073,11823,42.572851,-116.18969
16075,23951,44.00243,-116.750238
16077,7681,42.694126,-112.844407
16079,12882,47.347694,-115.885092
16081,12142,43.760994,-111.211765
16083,86878,42.352309,-114.665639
16085,11392,44.85596,-115.618061
16087,10194,44.448223,-116.797792
17001,65435,39.986052,-91.194961
17003,5761,37.183658,-89.349516
17005,16426,38.885924,-89.436592
17007,53544,42.318983,-88.824295
17009,6578,39.962069,-90.750309
17011,32628,41.401304,-89.528377
17013,4739,39.164262,-90.666295
17015,14305,42.0709,-89.924189
17017,12147,39.969202,-90.245704
17019,209689,40.138985,-88.196975
17021,32304,39.545524,-89.279593
17023,15441,39.332334,-87.791683
17025,13184,38.746819,-88.482325
17027,37562,38.606295,-89.426228
17029,50621,39.51368,-88.220782
17031,5150233,41.894294,-87.645455
17033,18667,39.002787,-87.760619
17035,10766,39.273121,-88.240619
17037,104897,41.894612,-88.768991
17039,15638,40.181499,-88.901853
17041,19465,39.766078,-88.222866
17043,922921,41.852058,-88.086039
17045,17161,39.679037,-87.74711
17047,6395,38.417095,-88.047941
17049,34008,39.047945,-88.592849
17051,21336,39.001125,-89.017923
17053,12961,40.596539,-88.224588
17055,38469,37.991852,-88.926321
17057,34340,40.46524,-90.202269
17059,4828,37.768677,-88.227964
17061,12969,39.355439,-90.387682
17063,51054,41.29241,-88.401054
17065,8116,38.085227,-88.539009
17067,17708,40.401318,-91.168801
17069,3821,37.517852,-88.266148
17071,6646,40.814471,-90.941246
17073,48913,41.350021,-90.130838
17075,27114,40.748867,-87.833601
17077,56750,37.786096,-89.381212
17079,9610,39.004886,-88.150725
17081,37684,38.30078,-88.92421
17083,21773,39.080195,-90.361385
17085,21235,42.362391,-90.21147
17087,12417,37.460709,-88.882131
17089,532403,41.939594,-88.42804
17091,109862,41.13951,-87.861117
17093,128990,41.58814,-88.430626
17095,49699,40.930945,-90.213792
17097,696535,42.185968,-87.805939
17099,108669,41.343341,-88.885931
17101,15678,38.718954,-87.730221
17103,34096,41.747447,-89.299362
17105,35648,40.894376,-88.552852
17107,28618,40.129277,-89.365309
17109,29682,40.455808,-90.678954
17111,307774,42.324298,-88.452245
17113,171517,40.494559,-88.844539
17115,104009,39.860237,-88.961529
17117,44926,39.265914,-89.92633
17119,262966,38.82712,-89.900227
17121,37205,38.648236,-88.920362
17123,11438,41.031119,-89.342371
17125,13359,40.236993,-89.913575
17127,13772,37.216119,-88.705658
17129,12196,40.022569,-89.794133
17131,15437,41.205605,-90.74177
17133,34637,38.277983,-90.179078
17135,28414,39.228068,-89.478141
17137,33658,39.717668,-90.205005
17139,14501,39.636896,-88.625726
17141,50643,42.041884,-89.320176
17143,179179,40.785972,-89.766993
17145,20916,38.084381,-89.368525
17147,16344,40.009033,-88.592355
17149,15561,39.625106,-90.889034
17151,4177,37.417169,-88.542374
17153,5335,37.215615,-89.127755
17155,5739,41.198961,-89.298347
17157,31782,38.056515,-89.82121
17159,15513,38.712187,-88.085452
17161,141879,41.468421,-90.572125
17163,259686,38.470198,-89.928546
17165,23491,37.751508,-88.545024
17167,194672,39.756886,-89.662435
17169,6768,40.156905,-90.613464
17171,4951,39.637002,-90.477771
17173,21634,39.384926,-88.798862
17175,5342,41.096908,-89.797411
17177,44498,42.349726,-89.665994
17179,131803,40.508074,-89.51626
17181,16653,37.485652,-89.244639
17183,75758,40.186754,-87.726778
17185,11520,38.445821,-87.839167
17187,16844,40.850441,-90.620223
17189,13887,38.35314,-89.417187
17191,16215,38.431857,-88.43243
17193,13537,38.087326,-88.178623
17195,55175,41.750673,-89.911005
17197,690743,41.448474,-87.978456
17199,66597,37.730353,-88.930018
17201,282572,42.337396,-89.161205
17203,38459,40.789787,-89.210587
18001,35777,40.745733,-84.93613
18003,379299,41.091909,-85.071791
18005,83779,39.205843,-85.897999
18007,8748,40.600939,-87.314786
18009,11758,40.472672,-85.32373
18011,67843,40.050892,-86.469014
18013,15092,39.195113,-86.230121
18015,20257,40.58498,-86.565141
18017,37689,40.753799,-86.355168
18019,118302,38.476217,-85.711122
18021,26225,39.393928,-87.115858
18023,32399,40.305944,-86.477567
18025,10577,38.289433,-86.440871
18027,33351,38.69609,-87.076943
18029,49458,39.140897,-84.975868
18031,26559,39.30598,-85.499831
18033,43475,41.39676,-85.002697
18035,114135,40.227543,-85.399262
18037,42736,38.373344,-86.873385
18039,206341,41.600693,-85.863986
18041,23102,39.639655,-85.185032
18043,78522,38.318081,-85.911847
18045,16346,40.121237,-87.234872
18047,22758,39.409762,-85.066964
18049,19974,41.050384,-86.265006
18051,33659,38.317398,-87.580523
18053,65769,40.515758,-85.654946
18055,31922,39.047147,-87.004771
18057,338011,40.053513,-86.021709
18059,78168,39.822529,-85.77315
18061,40515,38.186454,-86.103766
18063,170311,39.768963,-86.509908
18065,47972,39.929591,-85.397363
18067,82544,40.483537,-86.114118
18069,36520,40.826394,-85.478597
18071,44231,38.911957,-86.042516
18073,33562,41.017688,-87.118814
18075,20436,40.434956,-85.002331
18077,32308,38.783604,-85.44009
18079,27735,38.996229,-85.628103
18081,158167,39.496092,-86.094264
18083,36594,38.688381,-87.420358
18085,79456,41.244293,-85.861575
18087,39614,41.642462,-85.427845
18089,485493,41.472247,-87.374337
18091,109888,41.549013,-86.744739
18093,45370,38.839815,-86.48782
18095,129569,40.166203,-85.722454
18097,964582,39.782976,-86.135794
18099,46258,41.325003,-86.269036
18101,10255,38.705322,-86.801847
18103,35516,40.772883,-86.044258
18105,148431,39.160729,-86.52331
18107,38338,40.040296,-86.892715
18109,70489,39.482646,-86.447457
18111,13984,40.962399,-87.402172
18113,47744,41.404679,-85.417271
18115,5875,38.940527,-84.964299
18117,19646,38.547381,-86.489257
18119,20799,39.317339,-86.838845
18121,16937,39.77425,-87.19695
18123,19169,38.081436,-86.62654
18125,12389,38.397961,-87.232547
