Model,Type,Stage,Unit,CO2,"CO2 (VOC, CO, CO2)",CH4,N2O,GHG,VOC,CO,NOx,PM10,PM2.5,SOx,BC,OC
HEV,Fixed,Battery.Co.Prod,g,13910.73099,13930.09719,32.62859374,0.339640552,14998.95974,2.494728289,7.376065407,14.9554615,1.766037053,1.148712495,14.44565696,0.117833873,0.312203017
HEV,Fixed,Battery.Remainder,g,159140.9502,159966.5131,626.935703,5.040413287,190751.3778,83.33638115,360.074379,167.7967515,91.5727533,42.85294104,796.8769628,0.957264803,2.71434322
HEV,Fixed,Battery.Total,g,304089.6012,305258.7957,962.9558168,13.41461875,348343.4283,114.4967213,516.9477315,362.6813027,351.1463525,153.2683649,23775.52337,2.477231744,5.527458159
HEV,Fixed,Car.Cu.Mine,g,14509.33051,14537.41419,26.52864803,0.196210067,15385.2693,1.866783875,14.16897744,13.43293869,4.82624968,2.413537596,4.989133786,0.045857531,0.178243075
HEV,Fixed,Car.Cu.Prod,g,170989.5638,171261.8566,369.608463,4.207964554,183465.2211,20.80127877,132.0213904,190.04308,23.29662683,14.55120909,9730.604257,2.999928405,3.104784385
HEV,Fixed,Car.Remainder,g,7415203.912,7651681.195,18734.43331,172.8143851,8391499.883,62068.78463,27382.45401,7991.995819,3460.78283,1671.939867,21522.70015,46.6603772,104.0969539
HEV,Fixed,Total,g,7904792.407,8142739.261,20093.52624,190.6331785,8938693.801,62205.94941,28045.59211,8558.15314,3840.052059,1842.172979,55033.8169,52.18339487,112.9074395
BEV300_NMC111,Fixed,Battery.Cu.Mine,g,8433.686223,8450.010128,15.42002873,0.114048965,8942.833966,1.085085865,8.235852765,7.808023247,2.805303483,1.40289166,2.899981418,0.026655125,0.103605481
BEV300_NMC111,Fixed,Battery.Cu.Prod,g,99389.30862,99547.58142,214.838431,2.445919379,106640.903,12.09094093,76.73868757,110.464346,13.5413857,8.458028543,5656.006181,1.743736889,1.804685424
BEV300_NMC111,Fixed,Battery.Li.Prod,g,1046717.094,1048427.349,1553.081882,8.952368221,1097392.183,175.1832558,740.8973441,1503.093708,274.4257526,193.0541043,1380.28526,17.68413666,33.98709525
