Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Status,Technology,Prime Mover,Sector Name,Sector,Nameplate Capacity (MW),Summer Capacity (MW),Winter Capacity (MW),Operating Month,Operating Year,Nameplate Energy Capacity (MWh),Maximum Charge Rate (MW),Maximum Discharge Rate (MW),Storage Technology 1,Storage Technology 2,Storage Technology 3,Storage Technology 4,Nameplate Reactive Power Rating,Storage Enclosure Type,Arbitrage,Frequency Regulation,Load Following,Ramping / Spinning Reserve,Co-Located Renewable Firming,Transmission and Distribution Deferral,System Peak Shaving,Load Management,Voltage or Reactive Power Support,Backup Power,Excess Wind and Solar Generation
60094,"Clinton Battery Utility, LLC",60297,Clinton Battery,OH,Clinton,1,OP,Batteries,BA,IPP Non-CHP,2,10.0,10.0,10.0,10,2016,4.1,10.0,10.0,LIB,,,,3.2,CS,,Y,,,,,,,,,
59209,"Half Moon Ventures, LLC",60299,HMV Minster Energy Storage System,OH,Auglaize,MIN02,OP,Batteries,BA,IPP Non-CHP,2,7.0,7.0,7.0,3,2016,7.0,7.0,7.0,LIB,,,,5.3,CS,,Y,,,,,,Y,Y,,
49893,Invenergy Services LLC,60390,Beech Ridge Energy Storage,WV,Greenbrier,BRES,OP,Batteries,BA,IPP Non-CHP,2,31.5,31.5,31.5,10,2015,12.5,31.5,31.5,LIB,,,,0.5,CT,,Y,,,,,,,,,
15248,Portland General Electric Co,60441,Salem Smart Power Center,OR,Marion,SSPC,SB,Batteries,BA,Electric Utility,1,5.0,5.0,5.0,8,2013,1.3,5.0,5.0,LIB,,,,5.0,BL,,Y,,,Y,,Y,Y,,,
15500,Puget Sound Energy Inc,60444,Glacier Battery Storage,WA,Whatcom,GLA,OP,Batteries,BA,Electric Utility,1,2.0,2.0,2.0,9,2016,4.4,2.0,2.0,LIB,,,,2.0,CT,Y,Y,Y,Y,,,Y,,,Y,
60278,64KT 8me LLC,60491,Springbok 3 Solar Farm Hybrid,CA,Kern,SB3BS,OP,Batteries,BA,IPP Non-CHP,2,1.5,1.5,1.5,7,2019,1.5,1.5,1.5,LIB,,,,1.5,CT,,Y,,,,,,,Y,,Y
50174,Electric Transmission Texas LLC,60506,ETT Presidio NaS Battery,TX,Presidio,BOB,OP,Batteries,BA,IPP Non-CHP,2,4.0,4.0,4.0,3,2010,4.0,4.0,4.0,NAB,,,,4.0,BL,,,,,,,,,,Y,
7601,Green Mountain Power Corp,60518,Stafford Hill Solar Hybrid,VT,Rutland,BA1,OP,Batteries,BA,Electric Utility,1,2.0,2.0,2.0,9,2015,3.4,2.0,2.0,LIB,PBB,,,0.5,CS,,Y,,,,,Y,,,,Y
60947,Tesla Inc.,60546,KIUC Kapaia PV and BA Storage Project Hybrid,HI,Kauai,BA1,OP,Batteries,BA,IPP Non-CHP,2,13.0,11.0,11.0,5,2017,52.0,11.0,11.0,LIB,,,,7.8,CS,,,,,,,,,,,Y
7140,Georgia Power Co,60561,Cedartown Battery Energy Storage Project,GA,Polk,1,OP,Batteries,BA,Electric Utility,1,1.0,1.0,1.0,10,2015,2.0,1.0,1.0,LIB,,,,1.5,CT,,,,,Y,Y,Y,Y,,,Y
7601,Green Mountain Power Corp,60562,GMP Solar - Panton Hybrid,VT,Addison,GMPBP,OP,Batteries,BA,Electric Utility,1,1.0,1.0,1.0,6,2018,4.0,1.0,1.0,LIB,,,,1.0,OT,,Y,,,,,Y,,,,Y
10433,Kodiak Electric Assn Inc,60563,Flywheel Energy Storage System Microgrid,AK,Kodiak Island,FESS,OP,Flywheels,FW,Electric Utility,1,2.0,2.0,2.0,9,2015,2.0,2.0,2.0,,,,,2.0,CS,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
60336,SDGE Batteries,60565,Borrego Springs Energy Storage,CA,San Diego,SES1,OP,Batteries,BA,Electric Utility,1,0.5,0.5,0.5,12,2012,1.5,0.5,0.5,LIB,,,,1.5,CS,N,,,,,,Y,,,,
60336,SDGE Batteries,60565,Borrego Springs Energy Storage,CA,San Diego,SES2,OP,Batteries,BA,Electric Utility,1,1.0,1.0,1.0,2,2014,3.0,1.0,1.0,LIB,,,,1.5,CS,,,,,,,Y,,,Y,
