"","date","hour.ending","hour","AECO","AEPAPT","AEPIMP","AEPKPT","AEPOPT","AP","BC","CE","DAY","DEOK","DOM","DPLCO","DUQ","EASTON","EKPC","JC","ME","OE","OVEC","PAPWR","PE","PEPCO","PLCO","PN","PS","RECO","SMECO","UGI","VMEU"
"7944",2019-11-27,24,7944,878.37,4008.049,2864.99,657.081,5511.711,4791.179,2954.049,10298.783,1726,2657.295,9674.415,1691.256,1305.494,23.177,1501.115,2042.006,1442.027,6132.363,36,459.327,3677.457,2364.334,3819.801,1780.249,4118.159,131.566,331.814,104.938,66.025
"7945",2019-11-28,1,7945,826.977,3910.895,2738.52,639.29,5269.23,4627.992,2807.844,9692.987,1653,2526.851,9314.673,1612.156,1244.327,22.114,1441.88,1889.617,1368.99,5835.483,35,436.529,3509.963,2258.894,3632.658,1692.976,3889.506,121.278,315.104,99.276,61.957
"7946",2019-11-28,2,7946,801.133,3863.609,2648.707,637.715,5135.242,4531.397,2734.379,9277.684,1599,2450.171,9084.678,1580.523,1212.954,22.152,1408.612,1820.55,1336.673,5558.928,33,424.595,3382.691,2176.804,3546.491,1664.301,3760.159,115.707,307.14,95.047,60.104
"7947",2019-11-28,3,7947,782.402,3857.993,2601.704,634.11,5041.603,4504.268,2685.997,9022.142,1563,2407.32,8974.703,1568.028,1194.6,22.142,1430.839,1781.394,1313.646,5530.956,35,418.786,3328.982,2146.129,3499.718,1645.435,3666.07,112.6,305.782,92.683,58.698
"7948",2019-11-28,4,7948,772.19,3886.491,2542.946,634.408,5000.035,4529.413,2686.179,8837.005,1545,2381.846,9001.93,1577.181,1201.407,21.628,1433.975,1772.909,1305.288,5497.251,32,412.922,3327.174,2147.785,3472.145,1636.637,3631.951,112.159,309,91.588,58.152
"7949",2019-11-28,5,7949,782.115,3955.266,2520.139,647.026,5048.328,4577.019,2752.014,8715.962,1544,2414.896,9201.141,1617.017,1211.507,22.632,1487.193,1797.617,1321.238,5484.163,31,418.496,3376.416,2198.061,3542.687,1657.058,3665.293,113.287,322.438,91.852,59.071
"7950",2019-11-28,6,7950,811.818,4066.619,2571.326,655.733,5174.464,4708.535,2888.026,8746.773,1571,2458.37,9626.714,1696.06,1240.245,24.77,1534.979,1873.339,1361.11,5553.12,34,428.866,3516.381,2290.4,3655.097,1693.431,3751.899,117.923,345.322,95.557,61.324
"7951",2019-11-28,7,7951,841.255,4243.096,2597.735,678.995,5340.978,4859.965,3042.672,8926.128,1634,2553.366,10125.989,1797.508,1274.354,25.703,1641.187,1970.022,1427.899,5723.357,35,446.867,3690.6,2414.993,3840.358,1752.856,3868.832,124.384,369.287,100.701,62.832
"7952",2019-11-28,8,7952,857.752,4408.601,2610.238,697.219,5570.346,5092.563,3151.039,9139.172,1701,2649.3,10543.533,1884.509,1318.389,27.74,1712.243,2042.027,1503.673,5863.55,34,469.032,3820.989,2473.269,4035.261,1838.131,3903.788,128.874,399.106,108.498,61.208
"7953",2019-11-28,9,7953,858.261,4596.051,2711.194,718.197,5830.114,5351.559,3249.177,9198.952,1792,2772.37,10792.663,1940.366,1361.568,27.746,1801.108,2086.405,1598.198,6101.444,34,487.46,4002.229,2557.365,4277.472,1952.348,3953.051,134.075,416.621,117.816,57.538
